"category","subcategory","species","order","title","panorama","private","sequence","filename"
"travel","iceland",,"30","Fagradalsfjall","False","True","18","030-fagradalsfjall_private-018.JPG"
"travel","iceland",,"31","Fagradalsfjall","False","False","19","031-fagradalsfjall-019.JPG"
"travel","iceland",,"32","Fagradalsfjall","False","False","20","032-fagradalsfjall-020.JPG"
"travel","iceland",,"33","Fagradalsfjall","False","True","21","033-fagradalsfjall_private-021.JPG"
"travel","iceland",,"34","Zigolo Delle Nevi","False","False","1","034-Zigolo_delle_nevi-001.JPG"
"travel","iceland",,"35","Zigolo Delle Nevi","False","True","2","035-Zigolo_delle_nevi_private-002.JPG"
"travel","iceland",,"36","Litli Hrutur","True","False","1","036-litli_hrutur_pano-001.jpg"
"travel","iceland",,"37","Litli Hrutur","False","False","2","037-litli_hrutur-002.JPG"
"travel","iceland",,"38","Litli Hrutur","False","False","3","038-litli_hrutur-003.JPG"
"travel","iceland",,"39","Litli Hrutur","False","False","4","039-litli_hrutur-004.JPG"
"travel","iceland",,"40","Fagradalsfjall","False","True","15","040-fagradalsfjall_private-015.JPG"
"travel","iceland",,"41","Ãžingvellir","False","False","1","041-Ãžingvellir-001.jpg"
"travel","iceland",,"42","Ãžingvellir","True","False","2","042-Ãžingvellir_pano-002.jpg"
"travel","iceland",,"43","Ãžingvellir","False","False","3","043-Ãžingvellir-003.JPG"
"travel","iceland",,"44","Ãžingvellir","False","True","4","044-Ãžingvellir_private-004.jpg"
"travel","iceland",,"45","Ãžingvellir","False","False","5","045-Ãžingvellir-005.jpg"
"travel","iceland",,"46","Oxarafoss","False","False","1","046-oxarafoss-001.jpg"
"travel","iceland",,"47","Oxarafoss","False","False","2","047-oxarafoss-002.JPG"
"travel","iceland",,"48","Oxarafoss","False","False","3","048-oxarafoss-003.JPG"
"travel","iceland",,"49","Oxarafoss","False","False","3","049-oxarafoss-003.JPG"
"travel","iceland",,"50","Ãžingvellir","False","False","6","050-Ãžingvellir-006.JPG"
"travel","iceland",,"51","Ãžingvellir","False","True","7","051-Ãžingvellir_private-007.JPG"
"travel","iceland",,"52","Ãžingvellir","False","False","8","052-Ãžingvellir-008.JPG"
"travel","iceland",,"53","Ãžingvellir","False","False","9","053-Ãžingvellir-009.JPG"
"travel","iceland",,"54","Ãžingvellir","False","False","10","054-Ãžingvellir-010.jpg"
"travel","iceland",,"55","Pranzo","False","True","1","055-pranzo_private-001.jpg"
"travel","iceland",,"56","BrÃºarÃ¡rfoss","False","False","1","056-BrÃºarÃ¡rfoss-001.jpg"
"travel","iceland",,"57","BrÃºarÃ¡rfoss","False","True","2","057-BrÃºarÃ¡rfoss_private-002.jpg"
"travel","iceland",,"58","BrÃºarÃ¡rfoss","False","False","3","058-BrÃºarÃ¡rfoss-003.jpg"
"travel","iceland",,"59","BrÃºarÃ¡rfoss","False","False","4","059-BrÃºarÃ¡rfoss-004.JPG"
"travel","iceland",,"60","BrÃºarÃ¡rfoss","False","True","5","060-BrÃºarÃ¡rfoss_private-005.JPG"
"travel","iceland",,"61","BrÃºarÃ¡rfoss","False","True","6","061-BrÃºarÃ¡rfoss_private-006.JPG"
"travel","iceland",,"62","BrÃºarÃ¡rfoss","False","True","7","062-BrÃºarÃ¡rfoss_private-007.jpg"
"travel","iceland",,"63","Bus Truck","False","True","1","063-bus_truck_private-001.jpg"
"travel","iceland",,"64","Geysir","False","False","1","064-Geysir-001.jpg"
"travel","iceland",,"65","Geysir","False","False","2","065-Geysir-002.JPG"
"travel","iceland",,"66","Geysir","False","False","3","066-Geysir-003.JPG"
